	price	voyageurs	nb_chambres	nb_lits	nb_sdb	Jacuzzi	Barbecue	Lit_pour_bébé	Extincteur	Ustensiles_de_barbecue	Jardin_privé(e),_Clôture_intégrale	Piscine	Salle_de_sport
0	141	4.0	1	2.0	0	0	0	1	0	0	0	0	0
1	37	2.0	0	1.0	1	0	0	0	1	0	0	0	0
2	37	2.0	0	1.0	1	0	0	0	0	0	0	0	0
3	36	2.0	0	1.0	1	0	0	0	0	0	0	0	0
4	34	2.0	1	1.0	1	0	0	0	0	0	0	0	0
5	41	3.0	1	2.0	1	0	0	0	0	0	0	0	0
6	46	2.0	1	1.0	1	0	0	0	0	0	0	0	0
7	42	2.0	1	1.0	1	0	0	0	0	0	0	0	0
8	28	2.0	0	1.0	1	0	0	0	0	0	0	0	0
9	32	2.0	0	1.0	1	0	0	0	0	0	0	0	0
10	47	2.0	1	2.0	1	0	0	0	0	0	0	0	0
11	42	4.0	1	2.0	1	1	0	0	0	0	0	1	0
12	29	2.0	0	1.0	1	0	0	0	0	0	0	0	0
13	35	2.0	1	1.0	1	0	0	0	0	0	0	0	0
14	26	2.0	0	1.0	1	0	0	0	0	0	0	0	0
15	32	2.0	0	1.0	1	0	0	0	0	0	0	0	0
16	34	4.0	1	2.0	1	0	0	0	0	0	0	0	0
17	29	2.0	0	1.0	1	0	0	0	0	0	0	0	0
18	32	3.0	0	1.0	1	0	0	0	0	0	0	0	0
19	39	4.0	0	2.0	1	0	0	0	0	0	0	0	0
20	33	4.0	0	1.0	1	0	0	0	0	0	0	0	0
21	32	2.0	0	1.0	1	0	0	0	0	0	0	0	0
22	126	4.0	1	2.0	1	0	0	0	1	0	0	0	0
23	32	2.0	0	2.0	1	0	0	0	0	0	0	0	0
24	37	2.0	0	1.0	1	0	0	0	0	0	0	0	0
25	43	2.0	1	2.0	1	0	0	1	0	0	0	0	0
26	36	2.0	0	1.0	1	0	1	0	0	0	0	0	0
27	30	2.0	1	1.0	1	0	0	0	0	0	0	0	0
28	41	2.0	1	1.0	1	0	0	0	0	0	0	0	0
29	37	4.0	0	2.0	1	0	0	0	0	0	0	0	0
30	55	1.0	0	1.0	1	0	0	0	0	0	0	0	0
31	38	3.0	1	1.0	1	0	0	0	0	0	0	0	0
32	36	4.0	1	2.0	1	0	0	0	0	0	0	0	0
33	30	3.0	0	1.0	1	0	0	0	0	0	0	0	0
34	46	3.0	1	1.0	1	0	0	0	0	0	0	0	0
35	36	2.0	1	1.0	1	0	0	0	0	0	0	0	0
36	36	4.0	0	2.0	1	0	0	0	0	0	0	0	0
37	38	5.0	1	1.0	1	0	0	0	1	0	0	0	0
38	44	2.0	0	1.0	1	0	0	0	0	1	0	0	0
39	41	2.0	1	1.0	1	0	0	0	0	0	0	0	0
40	34	2.0	0	1.0	1	0	0	0	0	0	0	0	0
41	30	2.0	1	1.0	1	0	0	0	0	0	0	0	0
42	50	2.0	1	1.0	1	0	0	0	0	0	0	1	0
43	39	2.0	0	1.0	1	0	0	0	0	0	0	0	0
44	39	2.0	1	1.0	1	0	1	0	1	0	0	0	0
45	36	2.0	1	1.0	1	0	0	0	0	0	0	0	0
46	38	3.0	1	1.0	1	0	0	0	0	0	0	0	0
47	40	2.0	0	1.0	1	0	0	0	0	0	0	0	0
48	32	2.0	0	1.0	1	0	0	0	0	0	0	0	0
49	30	4.0	1	1.0	1	0	0	0	0	0	1	0	0
50	41	2.0	0	1.0	1	0	0	0	0	0	0	0	0
51	41	2.0	0	1.0	1	0	0	0	0	0	0	0	0
52	33	3.0	1	1.0	1	0	0	0	0	0	0	0	0
53	42	2.0	0	1.0	1	0	0	0	0	0	0	0	0
54	30	4.0	1	1.0	1	0	0	0	0	0	1	0	0
55	43	3.0	2	3.0	1	0	0	0	0	0	0	0	0
56	35	2.0	0	1.0	1	0	0	0	0	0	0	0	0
57	35	2.0	0	1.0	1	0	0	0	0	0	0	0	0
58	155	4.0	1	2.0	1	1	1	0	1	1	0	1	0
59	290	4.0	1	1.0	1	1	1	1	0	0	0	0	0
60	35	2.0	0	1.0	1	0	0	0	0	0	0	0	0
61	171	4.0	1	2.0	1	0	0	0	0	0	0	0	0
62	38	2.0	1	1.0	1	0	0	0	0	0	0	0	0
63	30	2.0	0	1.0	1	0	0	0	0	0	0	0	0
64	71	2.0	0	1.0	1	0	0	0	1	0	0	0	0
65	52	4.0	1	2.0	1	0	0	0	0	0	1	0	0
66	37	2.0	0	1.0	1	0	0	0	0	0	0	0	0
67	59	4.0	1	1.0	1	0	0	0	0	0	0	0	0
68	171	2.0	1	1.0	1	1	0	0	0	0	0	0	0
69	70	2.0	0	1.0	1	0	0	0	1	0	0	0	0
70	99	2.0	0	1.0	1	0	0	0	0	0	0	0	0
71	91	3.0	1	2.0	1	0	0	0	0	0	0	0	0
72	77	2.0	0	1.0	1	0	0	0	1	0	0	0	0
73	84	4.0	1	1.0	1	0	0	0	1	0	0	0	0
74	91	2.0	1	1.0	1	0	0	1	0	0	0	0	0
75	85	2.0	0	1.0	1	0	0	0	0	0	0	0	0
76	85	2.0	1	1.0	1	0	0	0	1	0	0	0	0
77	85	4.0	1	2.0	1	0	0	0	0	0	0	0	0
78	52	4.0	1	2.0	1	0	0	0	0	0	0	0	0
79	85	2.0	0	2.0	1	0	0	0	0	0	0	0	0
80	77	2.0	0	1.0	1	0	0	0	0	0	0	0	0
81	90	2.0	1	1.0	1	0	0	0	0	0	0	0	0
82	94	4.0	0	2.0	1	0	0	0	0	0	0	0	0
83	76	4.0	1	2.0	1	0	0	0	0	0	0	0	0
84	80	4.0	1	2.0	1	0	0	0	0	0	0	0	0
85	87	4.0	1	2.0	1	0	0	0	1	0	0	0	0
86	85	3.0	1	1.0	1	0	0	0	0	0	0	0	0
87	85	4.0	1	2.0	1	0	0	0	0	0	0	0	0
88	99	4.0	0	2.0	1	0	0	0	0	0	0	0	0
89	99	2.0	1	1.0	1	0	0	0	0	0	0	0	0
90	87	2.0	0	1.0	1	0	0	0	0	0	0	0	0
91	99	2.0	0	1.0	1	0	0	0	0	0	0	0	0
92	79	2.0	0	1.0	1	0	0	0	0	0	0	0	0
93	79	2.0	1	1.0	1	0	0	0	1	0	0	0	0
94	104	2.0	1	1.0	1	0	0	0	0	0	0	0	0
95	83	4.0	1	1.0	1	0	0	1	0	0	0	0	0
96	87	2.0	1	1.0	1	0	0	0	1	0	0	0	0
97	91	2.0	0	1.0	1	0	0	0	0	0	0	0	0
98	81	2.0	0	1.0	1	0	0	0	1	0	1	0	0
99	85	2.0	1	1.0	1	0	0	0	1	0	0	0	0
100	81	2.0	0	1.0	1	0	0	0	0	0	0	0	0
101	82	4.0	1	1.0	1	0	0	0	0	0	0	0	0
102	81	3.0	1	2.0	1	0	0	0	1	0	0	0	0
103	95	4.0	1	2.0	1	0	0	0	0	0	0	0	0
104	80	2.0	1	1.0	1	0	0	1	1	0	0	0	0
105	99	2.0	1	1.0	1	0	0	0	0	0	0	0	0
106	101	5.0	2	3.0	1	0	0	0	0	0	0	0	0
107	89	2.0	0	1.0	1	0	0	0	0	0	0	0	0
108	85	2.0	0	1.0	1	0	0	0	0	0	0	0	0
109	94	2.0	1	1.0	1	0	0	0	0	1	0	0	0
110	90	4.0	1	2.0	1	0	0	0	0	0	0	0	0
111	81	4.0	1	1.0	1	0	0	0	0	0	0	0	0
112	94	2.0	1	1.0	1	0	0	0	0	0	0	0	0
113	94	2.0	0	1.0	1	0	0	0	0	0	0	0	0
114	99	3.0	1	2.0	1	0	0	0	0	0	0	0	0
115	100	4.0	1	2.0	1	0	0	0	0	0	0	0	0
116	101	4.0	1	2.0	1	0	0	0	1	0	0	0	0
117	88	2.0	1	1.0	1	0	0	0	0	0	0	0	0
118	96	2.0	1	1.0	1	0	0	1	0	0	0	0	0
119	104	2.0	1	1.0	1	0	0	0	0	0	0	0	0
120	88	2.0	1	1.0	1	0	0	0	0	0	0	0	0
121	77	2.0	0	1.0	1	0	0	0	0	0	0	0	0
122	88	4.0	1	2.0	1	0	0	1	0	0	0	0	0
123	96	4.0	1	2.0	1	0	0	1	1	0	0	0	0
124	112	2.0	1	1.0	1	0	0	0	0	0	0	0	0
125	75	4.0	1	2.0	1	0	0	0	0	0	0	0	0
126	75	2.0	1	2.0	1	0	0	0	0	0	0	0	0
127	80	4.0	2	2.0	1	0	0	1	0	0	0	0	0
128	94	4.0	1	3.0	1	0	0	1	0	0	0	0	0
129	85	2.0	1	1.0	1	0	0	0	0	0	0	0	0
130	80	2.0	1	1.0	1	0	0	0	0	0	0	0	0
131	77	4.0	1	3.0	1	0	0	0	1	0	0	0	0
132	85	2.0	1	1.0	1	0	0	0	0	0	0	0	0
133	87	4.0	1	2.0	1	0	0	0	0	0	0	0	0
134	99	3.0	1	2.0	1	0	0	0	0	0	0	0	0
135	96	2.0	1	1.0	1	0	0	1	0	0	0	0	0
136	94	2.0	1	1.0	1	0	0	0	0	0	0	0	0
137	77	4.0	1	1.0	1	0	0	0	0	0	0	0	0
138	79	3.0	1	2.0	1	0	1	0	0	0	1	0	0
139	103	2.0	1	1.0	1	0	0	0	0	0	0	0	0
140	89	3.0	1	1.0	1	0	0	0	0	0	0	0	0
141	99	2.0	0	1.0	1	0	0	0	0	0	0	0	0
142	87	5.0	1	1.0	1	0	0	0	0	0	0	0	0
143	81	2.0	0	1.0	1	0	0	0	0	0	0	0	0
144	79	2.0	0	1.0	1	0	0	0	0	0	0	0	0
145	80	4.0	1	2.0	1	0	0	0	0	0	0	0	0
146	81	2.0	1	2.0	1	0	0	0	0	0	0	0	0
147	94	2.0	1	1.0	1	0	0	0	0	0	0	0	0
148	86	4.0	1	2.0	1	0	0	0	0	0	0	0	0
149	85	2.0	1	1.0	1	0	0	0	1	0	0	0	0
150	80	2.0	1	1.0	1	0	0	0	0	0	0	0	0
151	89	3.0	1	2.0	1	0	0	0	1	0	0	0	0
152	72	2.0	1	1.0	1	0	0	0	0	0	0	0	0
153	80	2.0	1	1.0	1	0	0	0	0	0	0	0	0
154	80	3.0	1	1.0	1	0	0	0	0	0	0	0	0
155	85	2.0	0	1.0	1	0	0	0	0	0	0	0	0
156	80	2.0	0	1.0	1	0	0	0	1	0	0	0	0
157	84	4.0	2	3.0	1	0	0	1	0	1	0	0	0
158	84	4.0	1	2.0	1	0	0	0	0	0	0	0	0
159	79	3.0	1	2.0	1	0	0	0	0	0	0	0	0
160	116	2.0	0	1.0	1	0	0	1	0	0	0	0	0
161	83	2.0	1	1.0	1	0	0	0	0	0	0	0	0
162	85	4.0	1	2.0	1	0	0	0	0	0	0	0	0
163	178	6.0	2	3.0	1	0	0	1	0	0	0	0	0
164	76	2.0	0	1.0	1	0	0	0	1	0	0	0	0
165	88	4.0	1	2.0	1	0	0	0	0	0	0	0	0
166	79	2.0	1	2.0	1	0	1	1	1	1	1	0	0
167	98	2.0	1	1.0	1	0	0	0	0	0	0	0	0
168	95	2.0	1	1.0	1	0	0	0	0	0	0	0	0
169	81	2.0	0	1.0	1	0	0	0	0	0	0	0	0
170	103	2.0	1	1.0	1	0	0	0	0	0	0	0	0
171	80	4.0	1	1.0	1	0	0	0	0	0	0	0	0
172	77	2.0	1	1.0	1	0	0	0	0	0	0	0	0
173	86	4.0	1	2.0	1	0	0	0	0	0	0	0	0
174	81	4.0	1	2.0	1	0	0	1	0	0	0	0	0
175	85	4.0	2	4.0	1	0	0	0	0	0	0	0	0
176	104	4.0	2	2.0	1	0	0	0	0	0	0	0	0
177	77	2.0	1	1.0	1	0	0	0	0	0	0	0	0
178	77	2.0	1	2.0	1	0	0	0	1	0	0	0	0
179	80	3.0	1	2.0	1	0	0	1	0	0	0	0	0
180	80	3.0	1	1.0	1	0	0	0	0	0	0	0	0
181	77	2.0	0	1.0	1	0	0	0	0	0	0	0	0
182	81	2.0	0	1.0	1	0	0	0	0	0	0	0	0
183	85	2.0	0	1.0	1	0	0	0	0	0	0	0	0
184	86	2.0	0	1.0	1	0	0	0	0	0	0	0	0
185	81	4.0	1	2.0	1	0	0	1	0	0	0	0	0
186	80	2.0	0	1.0	1	0	0	0	0	0	0	0	0
187	85	4.0	1	2.0	1	0	0	0	0	0	0	0	0
188	80	2.0	0	1.0	1	0	0	0	0	0	0	0	0
189	81	2.0	1	1.0	1	0	0	0	0	0	0	0	0
190	89	2.0	0	1.0	1	0	0	0	0	0	0	0	0
191	206	4.0	1	2.0	1	0	1	0	0	1	0	0	0
192	75	2.0	1	2.0	1	0	0	0	1	0	0	0	0
193	116	2.0	0	1.0	1	0	0	0	0	0	0	0	0
194	94	2.0	0	1.0	1	0	0	1	0	0	0	0	0
195	82	2.0	1	1.0	1	0	0	0	0	0	0	0	0
196	79	4.0	1	4.0	1	0	0	0	0	0	0	0	0
197	80	4.0	1	1.0	1	0	0	0	0	0	0	0	0
198	77	3.0	0	2.0	1	0	0	0	0	0	0	0	0
199	82	3.0	1	2.0	1	0	0	1	0	0	0	0	0
200	81	4.0	2	2.0	1	0	0	0	0	0	0	0	0
201	81	2.0	0	1.0	1	0	0	0	0	0	0	0	0
202	81	2.0	0	1.0	1	0	0	0	0	0	0	0	0
203	85	2.0	0	1.0	1	0	0	0	0	0	0	0	0
204	85	2.0	1	2.0	1	0	0	0	0	0	0	0	0
205	92	2.0	1	1.0	1	0	0	0	0	0	0	0	0
206	99	2.0	0	1.0	1	0	0	0	0	0	0	0	0
207	80	2.0	0	1.0	1	0	0	0	0	0	0	0	0
208	81	2.0	1	1.0	1	0	0	0	0	0	0	1	0
209	206	4.0	1	2.0	1	0	1	0	0	1	0	0	0
210	84	4.0	1	1.0	1	0	0	1	0	0	0	0	0
211	88	2.0	1	1.0	1	0	0	0	0	0	0	0	0
212	112	2.0	1	1.0	1	0	0	1	0	0	0	0	0
213	75	4.0	1	2.0	1	0	0	0	0	0	0	0	0
214	94	2.0	1	1.0	1	0	0	0	0	0	0	0	0
215	77	4.0	1	1.0	1	0	0	0	0	0	0	0	0
216	79	3.0	1	2.0	1	0	1	0	0	0	1	0	0
217	89	3.0	1	1.0	1	0	0	0	0	0	0	0	0
218	87	5.0	1	1.0	1	0	0	0	0	0	0	0	0
219	79	2.0	0	1.0	1	0	0	0	0	0	0	0	0
220	80	4.0	1	2.0	1	0	0	0	0	0	0	0	0
221	155	5.0	2	3.0	1	0	0	1	1	0	0	0	0
222	174	2.0	1	1.0	1	0	0	0	0	0	0	0	0
223	153	6.0	2	3.0	1	0	0	0	0	0	0	0	0
224	180	6.0	2	3.0	1	0	0	0	1	0	0	0	0
225	128	4.0	2	3.0	1	0	0	0	1	0	0	0	0
226	150	4.0	2	2.0	1	0	0	0	0	0	0	0	0
227	186	4.0	1	2.0	1	0	0	0	0	0	0	0	0
228	150	5.0	1	3.0	1	0	0	1	0	0	0	0	0
229	161	2.0	0	1.0	1	0	0	0	1	0	1	0	0
230	147	4.0	2	3.0	1	0	0	0	0	0	0	0	0
231	150	3.0	2	2.0	1	0	0	0	0	0	0	0	0
232	150	4.0	1	2.0	1	0	0	0	0	0	0	0	0
233	152	4.0	1	2.0	1	0	0	1	0	0	1	0	0
234	151	2.0	1	1.0	1	0	0	0	0	0	0	0	0
235	150	4.0	1	2.0	1	0	0	0	1	0	0	0	0
236	146	4.0	2	2.0	1	0	0	0	0	0	0	0	0
237	152	4.0	1	1.0	1	0	0	0	0	0	0	0	0
238	152	2.0	1	1.0	1	0	0	0	0	0	0	0	0
239	149	2.0	1	1.0	1	0	0	0	1	0	0	0	0
240	170	2.0	1	1.0	1	1	0	0	0	0	0	0	0
241	152	4.0	2	2.0	1	0	0	1	1	0	0	0	0
242	160	2.0	1	1.0	1	0	0	0	0	0	0	0	0
243	150	3.0	2	2.0	1	0	0	0	0	0	0	0	0
244	151	6.0	2	3.0	1	0	0	1	0	0	0	0	0
245	160	6.0	2	4.0	1	0	0	0	0	0	0	0	0
246	151	6.0	2	3.0	1	0	0	1	0	0	0	0	0
247	172	6.0	2	2.0	1	0	1	1	1	0	1	0	0
248	150	4.0	1	2.0	1	0	0	0	1	0	0	0	0
249	186	4.0	1	2.0	1	0	0	0	0	0	0	0	0
250	155	4.0	1	3.0	1	0	0	0	0	0	0	0	0
251	170	6.0	2	3.0	1	0	0	0	1	0	0	0	0
252	150	5.0	2	4.0	1	0	0	0	0	0	0	0	0
253	143	5.0	2	4.0	1	0	0	1	1	0	0	0	0
254	134	4.0	1	1.0	1	0	1	0	0	1	0	0	0
255	152	2.0	1	1.0	1	0	0	0	0	0	0	0	0
256	150	3.0	1	1.0	1	0	0	1	0	0	0	1	0
257	163	4.0	1	2.0	1	0	0	1	0	0	0	0	0
258	153	4.0	2	2.0	1	0	0	0	0	0	0	0	0
259	159	4.0	2	2.0	1	0	0	1	1	0	0	0	0
260	191	4.0	2	2.0	1	0	0	1	0	0	0	0	0
261	175	4.0	2	2.0	1	0	0	0	0	0	0	0	0
262	166	5.0	2	4.0	1	0	0	0	0	0	0	0	0
263	145	5.0	2	2.0	1	0	0	0	0	0	0	0	0
264	160	4.0	2	3.0	1	0	0	0	0	0	0	0	0
265	149	2.0	1	1.0	1	0	0	0	0	0	0	0	0
266	149	7.0	4	4.0	1	0	0	0	0	0	0	0	0
267	150	4.0	2	2.0	1	0	0	0	0	0	0	0	0
268	170	2.0	1	1.0	1	1	0	0	0	0	0	0	0
269	181	5.0	2	3.0	1	0	0	0	1	0	0	0	0
270	142	6.0	2	2.0	1	0	0	0	0	0	0	0	0
271	162	6.0	2	4.0	1	0	0	0	0	0	0	0	0
272	150	6.0	2	3.0	1	0	0	0	0	0	0	0	0
273	177	2.0	1	1.0	1	0	0	0	0	0	0	0	0
274	186	4.0	1	2.0	1	0	0	1	0	0	0	0	0
